"","Feature ID","Taxon","Domain","Supergroup","Phylum","Class","Order","Family","Genus","Species"
"1","000ee37747b75c12d7108ddf5c5cf3ea","Eukaryota;Alveolata;Ciliophora;Nassophorea;Nassophorea_X;Discotrichidae;NASSO_1;NASSO_1_sp.;","Eukaryota","Alveolata","Ciliophora","Nassophorea","Nassophorea_X","Discotrichidae","NASSO_1","NASSO_1_sp."
"2","00165708dab37d750eb573b1720ff8bd","Eukaryota;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonas;Pelagomonas_calceolata;","Eukaryota","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Pelagomonas","Pelagomonas_calceolata"
"3","000562094e0ee78d5f488dff4c48c294","Eukaryota;Stramenopiles;Sagenista","Eukaryota","Stramenopiles","Sagenista",NA,NA,NA,NA,NA
"4","0038478be7fb4f097ce93a5e9341af2a","Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa","Eukaryota","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa",NA,NA
"5","003b5938e31a8c1b1809e0358da894e0","Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_H;Strombidiidae_H_X;Strombidiidae_H_X_sp.;","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Strombidiida","Strombidiidae_H","Strombidiidae_H_X","Strombidiidae_H_X_sp."
"6","0016c92095329cf769d2fc9f5a0b826c","Eukaryota;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachnida;Chlorarachnida_X;Lotharella","Eukaryota","Rhizaria","Cercozoa","Chlorarachniophyceae","Chlorarachnida","Chlorarachnida_X","Lotharella",NA
"7","0024760a130d14a29d63bb07f082733e","Eukaryota;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Lophophaenidae","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Nassellaria","Lophophaenidae",NA,NA
"8","003ff3e98dff52952a7036585a32c2f2","Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-4","Dino-Group-I-Clade-4_X","Dino-Group-I-Clade-4_X_sp."
"9","002b0d0f4b0cb0d5c94a081e94b2dab4","Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Guinardia;Guinardia_flaccida;","Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Radial-centric-basal-Coscinodiscophyceae","Guinardia","Guinardia_flaccida"
"10","00401e7d7d7e7c7d1b885c7063437d05","Eukaryota;Alveolata;Ciliophora;Plagiopylea;Plagiopylea_X;Trimyemidae;Trimyema;Trimyema_sp.;","Eukaryota","Alveolata","Ciliophora","Plagiopylea","Plagiopylea_X","Trimyemidae","Trimyema","Trimyema_sp."
"11","004f618f9dc40ea5e9e26fef6cf2aeb7","Eukaryota;Rhizaria;Radiolaria;Polycystinea;Spumellaria;Spumellaria_1;Spumellaria_1_X;Spumellaria_1_X_sp.;","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Spumellaria","Spumellaria_1","Spumellaria_1_X","Spumellaria_1_X_sp."
"12","0045eeb379be57a2b672e0925b8014e1","Eukaryota;Rhizaria;Radiolaria;Polycystinea;Spumellaria;Astrosphaeridae;Cladococcus;Cladococcus_scoparius;","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Spumellaria","Astrosphaeridae","Cladococcus","Cladococcus_scoparius"
"13","0009645516609bda2246e1955ff9ec1d","Eukaryota;Rhizaria;Radiolaria;Acantharea","Eukaryota","Rhizaria","Radiolaria","Acantharea",NA,NA,NA,NA
"14","0062f9e7e037d6c05b5daa5012e6c72b","Eukaryota;Alveolata;Ciliophora;Litostomatea;Rhynchostomatia;Dileptidae","Eukaryota","Alveolata","Ciliophora","Litostomatea","Rhynchostomatia","Dileptidae",NA,NA
"15","005304e54875249db6b7b45928b90bc8","Eukaryota;Opisthokonta;Fungi;Basidiomycota;Pucciniomycotina;Agaricostilbomycetes","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Agaricostilbomycetes",NA,NA
"16","0030ad8ce44f257c42daf3673bf92197","Eukaryota;Stramenopiles;Opalozoa;MAST-3;MAST-3J;MAST-3J_X;MAST-3J_XX;MAST-3J_XX_sp.;","Eukaryota","Stramenopiles","Opalozoa","MAST-3","MAST-3J","MAST-3J_X","MAST-3J_XX","MAST-3J_XX_sp."
"17","00577af078bd17711fda98d8d669f7cb","Eukaryota;Opisthokonta;Metazoa;Nemertea;Nemertea_X;Nemertea_XX","Eukaryota","Opisthokonta","Metazoa","Nemertea","Nemertea_X","Nemertea_XX",NA,NA
"18","00508684a4c673b882a5d186733b3271","Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycetes",NA,NA
"19","006df5d12667ab19d5ebbf6f0a786297","Eukaryota;Stramenopiles;Sagenista;MAST-7;MAST-7B;MAST-7B_X;MAST-7B_XX;MAST-7B_XX_sp.;","Eukaryota","Stramenopiles","Sagenista","MAST-7","MAST-7B","MAST-7B_X","MAST-7B_XX","MAST-7B_XX_sp."
"20","0052bc3663c02b5375d7472fdcb21cd0","Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II",NA,NA,NA
"21","00647004b54628de11bd3d7d5ffca349","Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Allapsidae_X;Allapsidae_X_sp.;","Eukaryota","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Allapsidae","Allapsidae_X","Allapsidae_X_sp."
"22","006f5664d25385baa7bc38462247b4eb","Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-G;Chrysophyceae_Clade-G_X;Chrysophyceae_Clade-G_X_sp.;","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-G","Chrysophyceae_Clade-G_X","Chrysophyceae_Clade-G_X_sp."
"23","00842c3130a1b42471f9c1c25bdee698","Eukaryota;Amoebozoa;Lobosa;Discosea-Flabellinia;Vannellida;Vannellidae;Vannella;Vannella_sp.;","Eukaryota","Amoebozoa","Lobosa","Discosea-Flabellinia","Vannellida","Vannellidae","Vannella","Vannella_sp."
"24","005cb2b20d793b4141de82f609cb4f54","Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Chytridiomycetes_X;Chytridiomycetes_X_sp.;","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycetes","Chytridiomycetes_X","Chytridiomycetes_X_sp."
"25","0090723b706b48148969dc942aa358ac","Eukaryota;Alveolata;Ciliophora;Plagiopylea;Plagiopylea_X","Eukaryota","Alveolata","Ciliophora","Plagiopylea","Plagiopylea_X",NA,NA,NA
"26","008155818da4b5aa9192d67302b47ff9","Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-1","Dino-Group-II-Clade-1_X","Dino-Group-II-Clade-1_X_sp."
"27","008783681cef7d91238d312d6cb89eca","Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp."
"28","0091673b5ed75f67c62ead331c93425f","Eukaryota;Alveolata;Ciliophora;Nassophorea;Nassophorea_X;Discotrichidae;NASSO_1;NASSO_1_sp.;","Eukaryota","Alveolata","Ciliophora","Nassophorea","Nassophorea_X","Discotrichidae","NASSO_1","NASSO_1_sp."
"29","009204e068b5b407b77e62b0b9171f05","Eukaryota;Stramenopiles;Stramenopiles_X;Stramenopiles_XX;Stramenopiles_XXX;Stramenopiles_XXXX;Stramenopiles_XXXXX;Stramenopiles_XXXXX_sp.;","Eukaryota","Stramenopiles","Stramenopiles_X","Stramenopiles_XX","Stramenopiles_XXX","Stramenopiles_XXXX","Stramenopiles_XXXXX","Stramenopiles_XXXXX_sp."
"30","009adcfc30c85a1ead01fab1c3fc8b5c","Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-5;Dino-Group-I-Clade-5_X;Dino-Group-I-Clade-5_X_sp.;","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-5","Dino-Group-I-Clade-5_X","Dino-Group-I-Clade-5_X_sp."
"31","0087650a4f45629909376932e1743c69","Eukaryota;Rhizaria;Cercozoa;Filosa-Granofilosea;Filosa-Granofilosea_X","Eukaryota","Rhizaria","Cercozoa","Filosa-Granofilosea","Filosa-Granofilosea_X",NA,NA,NA
"32","009fd380ab60bb2001b89f0bdbb4d8b3","Eukaryota;Stramenopiles;Ochrophyta","Eukaryota","Stramenopiles","Ochrophyta",NA,NA,NA,NA,NA
"33","00976c3d6418dfce1a4504ba18a291b0","Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-55;Dino-Group-II-Clade-55_X;Dino-Group-II-Clade-55_X_sp.;","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-55","Dino-Group-II-Clade-55_X","Dino-Group-II-Clade-55_X_sp."
"34","00b3dc9800ceb1d0879c260bde96ec50","Eukaryota;Rhizaria;Radiolaria;Polycystinea;Spumellaria;Astrosphaeridae;Heliosphaera;Heliosphaera_sp.;","Eukaryota","Rhizaria","Radiolaria","Polycystinea","Spumellaria","Astrosphaeridae","Heliosphaera","Heliosphaera_sp."
"35","00a68bd86d278ec7675a302de6df2968","Eukaryota;Rhizaria;Radiolaria;Acantharea;Acantharea_1;Acantharea_1_X;Acantharea_1_XX;Acantharea_1_XX_sp.;","Eukaryota","Rhizaria","Radiolaria","Acantharea","Acantharea_1","Acantharea_1_X","Acantharea_1_XX","Acantharea_1_XX_sp."
"36","00b6b6ebc8d3f85c0465683827d97c3e","Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-4","Dino-Group-I-Clade-4_X","Dino-Group-I-Clade-4_X_sp."
